title,slug,kind,canonical_id,reality_tier,literalness,provider_targets,priority,labels,description
Acrobatics (skill),acrobatics,skill,skill-acrobatics,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Acrobatics
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Thread complex systems without tripping rate limits, retries, or state.

## Current Interpretation

Use this skill when the work is a choreography problem: brittle sequencing, async handoffs, or constrained flows that must stay upright end to end. It shines on API dances, dependency ordering, and recovery logic where grace matters more than brute force.

## Default Invocation

Use $acrobatics to thread this workflow cleanly through its sequencing constraints and show me the balance points.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Animal Handling (skill),animal-handling,skill,skill-animal-handling,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Animal Handling
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Calm a temperamental system long enough to get useful work out of it.

## Current Interpretation

Use this skill when the system is not fully broken but behaves like a skittish animal: flaky CI, fragile legacy services, or moody dependencies. It focuses on coaxing, pacing, and stable handling rather than heroic rewrites.

## Default Invocation

Use $animal-handling to steady this temperamental system and tell me how to work with it without provoking a failure.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Arcana (skill),arcana,skill,skill-arcana,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Arcana
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Apply deep technical knowledge to understand how systems work under the hood.

## Current Interpretation

In D&D, Arcana is knowledge of magic, its traditions, symbols, and mechanisms. The real-world version is deep technical literacy: understanding how software architectures work, what protocols do at the wire level, how APIs behave beyond their documentation, and what the actual mechanisms are behind the abstractions everyone else takes on faith.

## Default Invocation

Use $arcana to explain how this [system/protocol/technology] actually works under the hood, beyond what the documentation says.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Athletics (skill),athletics,skill,skill-athletics,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Athletics
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Push a heavy workload through to completion when elegance is optional.

## Current Interpretation

Use this skill when the job is mostly about sustained force: large batches, exhaustive passes, long-running jobs, or load that needs to be carried without dropping it. It is the right metaphor when the answer is more throughput, sturdier batching, and disciplined endurance.

## Default Invocation

Use $athletics to turn this into a durable high-throughput run plan and tell me where it will strain.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Deception (skill),deception,skill,skill-deception,shipping-now,metaphorical,openai|claude,3,ai|docs,"## Spellbook Entry

- Kind: skill
- Canonical source: Deception
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Forge realistic stand-ins for systems, traffic, and data without misleading actual people.

## Current Interpretation

Use this skill to generate believable synthetic artifacts for testing, demos, adversarial exercises, or rehearsal environments. The goal is plausibility under inspection by software and operators, not manipulation of real users or fabrication of evidence.

## Default Invocation

Use $deception to create a plausible synthetic version of this scenario for testing or demo use, and label the lines I must not cross.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
History (skill),history,skill,skill-history,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: History
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Trace how a system, decision, or codebase arrived at its current state.

## Current Interpretation

In D&D, History recalls significant past events, legendary figures, and ancient knowledge. The real-world version is temporal investigation: git blame across the entire project, reading changelogs to understand why a decision was made, reconstructing the sequence of events that led to a production incident, or understanding organizational context that explains why the code looks the way it does.

## Default Invocation

Use $history to trace how this [system/decision/codebase] arrived at its current state. What happened, in what order, and why?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Insight (skill),insight,skill,skill-insight,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Insight
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Read between the lines to surface what someone means but is not saying.

## Current Interpretation

In D&D, Insight detects lies and reads true intentions. The real-world version is subtext analysis: figuring out what an email actually means, what a stakeholder's real objection is, what a user's bug report is actually describing, or what the unsaid concern is behind a seemingly simple question. Insight does not read minds — it reads signals that are present but not foregrounded.

## Default Invocation

Use $insight to read between the lines of this [message/conversation/request]. What is the surface meaning, what is the likely subtext, and how should I respond to the real concern?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Intimidation (skill),intimidation,skill,skill-intimidation,shipping-now,metaphorical,openai|claude,3,ai|docs,"## Spellbook Entry

- Kind: skill
- Canonical source: Intimidation
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Write with enough authority that the recipient understands the risk and the deadline.

## Current Interpretation

Use this skill when a message must sound serious because the situation is serious: security findings, compliance obligations, deadline-backed escalations, or non-optional remediation notices. It is about calibrated force, not bluster; the tone should match the facts and consequences.

## Default Invocation

Use $intimidation to draft a serious, authoritative message that matches the actual risk and required action.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Investigation (skill),investigation,skill,skill-investigation,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Investigation
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Follow evidence through a system until the hidden mechanism becomes legible.

## Current Interpretation

Use this skill when a problem has clues, but they need to be connected into a causal explanation.

## Default Invocation

Use $investigation to follow the clues here and tell me the most likely root cause with evidence.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Medicine (skill),medicine,skill,skill-medicine,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Medicine
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Read the symptoms, stabilize the patient, and prescribe the next safe intervention.

## Current Interpretation

Use this skill for live system triage: interpreting logs as symptoms, prioritizing immediate stabilization, and applying treatments for known failure modes. It is about keeping the patient alive first and only then planning deeper corrective care.

## Default Invocation

Use $medicine to triage this system issue, stabilize it first, and tell me the most likely treatment path.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
